"district","county","year","subcounty","parish","school_name","ownership","gender","grade","value","location_code","facility_id"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Male","Division 2","","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Female","Division 2","1.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Male","Division 3","4.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Female","Division 3","2.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Male","Division 4","3.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Female","Division 4","2.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Male","Division U","7.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Female","Division U","5.0","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Male","Division X","","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Nakatuli RC Primary School","Government","Female","Division X","","D01S12P06","nakatuli-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Male","Division 1","2.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Female","Division 1","1.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Male","Division 2","19.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Female","Division 2","12.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Male","Division 3","7.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Female","Division 3","9.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Male","Division 4","","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Female","Division 4","2.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Male","Division U","","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Female","Division U","","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Male","Division X","1.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namalere","Namalere Primary School","Government","Female","Division X","1.0","D01S12P05","namalere-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Male","Division 1","","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Female","Division 1","","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Male","Division 2","7.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Female","Division 2","10.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Male","Division 3","7.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Female","Division 3","5.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Male","Division 4","4.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Female","Division 4","3.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Male","Division U","2.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Female","Division U","2.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Male","Division X","2.0","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Namayuge","Namayuge Primary School","Government","Female","Division X","","D01S12P06","namayuge-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Male","Division 1","","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Female","Division 1","","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Male","Division 2","3.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Female","Division 2","1.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Male","Division 3","2.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Female","Division 3","1.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Male","Division 4","3.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Female","Division 4","1.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Male","Division U","3.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Female","Division U","2.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Male","Division X","1.0","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Ntimba","Ntimba Primary School","Government","Female","Division X","","D01S12P07","ntimba-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Male","Division 1","","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Female","Division 1","","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Male","Division 2","8.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Female","Division 2","6.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Male","Division 3","10.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Female","Division 3","3.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Male","Division 4","3.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Female","Division 4","1.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Male","Division U","","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Female","Division U","1.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Male","Division X","1.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","St Kizito Kidibya Primary School","Government","Female","Division X","1.0","D01S12P02","st-kizito-kidibya-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Male","Division 1","4.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Female","Division 1","1.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Male","Division 2","10.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Female","Division 2","16.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Male","Division 3","9.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Female","Division 3","10.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Male","Division 4","7.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Female","Division 4","7.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Male","Division U","1.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Female","Division U","1.0","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Male","Division X","","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Bbaale","Bbaale CU Primary School","Government","Female","Division X","","D01S09P03","bbaale-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Male","Division 1","","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Female","Division 1","","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Male","Division 2","5.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Female","Division 2","6.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Male","Division 3","5.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Female","Division 3","5.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Male","Division 4","4.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Female","Division 4","4.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Male","Division U","2.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Female","Division U","1.0","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Male","Division X","","D01S09P04","gayaza-cu-primary-school_kayunga"
