"district","county","subcounty","year","level","ownership","value","location_code","thematic_area"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Primary","Private","20","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Secondary","Government","1","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Secondary","Private","5","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Tertiary","Government","0","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Tertiary","Private","0","D01S03","education"
"Kayunga","Bbaale","Bbaale","2023","Primary","Government","6","D01S09","education"
"Kayunga","Bbaale","Bbaale","2023","Primary","Private","17","D01S09","education"
"Kayunga","Bbaale","Bbaale","2023","Secondary","Government","1","D01S09","education"
"Kayunga","Bbaale","Bbaale","2023","Secondary","Private","1","D01S09","education"
"Kayunga","Bbaale","Bbaale","2023","Tertiary","Government","0","D01S09","education"
"Kayunga","Bbaale","Bbaale","2023","Tertiary","Private","0","D01S09","education"
"Kayunga","Ntenjeru","Busaana","2023","Primary","Government","21","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2023","Primary","Private","20","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2023","Secondary","Government","1","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2023","Secondary","Private","2","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2023","Tertiary","Government","0","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2023","Tertiary","Private","0","D01S08","education"
"Kayunga","Ntenjeru","Busaana Town Council","2023","Primary","Government","9","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2023","Primary","Private","16","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2023","Secondary","Government","1","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2023","Secondary","Private","1","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2023","Tertiary","Government","0","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2023","Tertiary","Private","0","D01S07","education"
"Kayunga","Bbaale","Galiraya","2023","Primary","Government","11","D01S12","education"
"Kayunga","Bbaale","Galiraya","2023","Primary","Private","12","D01S12","education"
"Kayunga","Bbaale","Galiraya","2023","Secondary","Government","1","D01S12","education"
"Kayunga","Bbaale","Galiraya","2023","Secondary","Private","1","D01S12","education"
"Kayunga","Bbaale","Galiraya","2023","Tertiary","Government","0","D01S12","education"
"Kayunga","Bbaale","Galiraya","2023","Tertiary","Private","0","D01S12","education"
"Kayunga","Ntenjeru","Kangulumira","2023","Primary","Government","9","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2023","Primary","Private","29","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2023","Secondary","Government","1","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2023","Secondary","Private","5","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2023","Tertiary","Government","1","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2023","Tertiary","Private","0","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2023","Primary","Government","9","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2023","Primary","Private","25","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2023","Secondary","Government","1","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2023","Secondary","Private","7","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2023","Tertiary","Government","1","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2023","Tertiary","Private","0","D01S01","education"
"Kayunga","Bbaale","Kayonza","2023","Primary","Government","3","D01S10","education"
"Kayunga","Bbaale","Kayonza","2023","Primary","Private","31","D01S10","education"
"Kayunga","Bbaale","Kayonza","2023","Secondary","Government","1","D01S10","education"
"Kayunga","Bbaale","Kayonza","2023","Secondary","Private","3","D01S10","education"
"Kayunga","Bbaale","Kayonza","2023","Tertiary","Government","0","D01S10","education"
"Kayunga","Bbaale","Kayonza","2023","Tertiary","Private","0","D01S10","education"
"Kayunga","Ntenjeru","Kayunga","2023","Primary","Government","19","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2023","Primary","Private","35","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2023","Secondary","Government","1","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2023","Secondary","Private","5","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2023","Tertiary","Government","0","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2023","Tertiary","Private","1","D01S06","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2023","Primary","Government","7","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2023","Primary","Private","25","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2023","Secondary","Government","2","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2023","Secondary","Private","7","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2023","Tertiary","Government","0","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2023","Tertiary","Private","0","D01S05","education"
"Kayunga","Bbaale","Kitimbwa","2023","Primary","Government","18","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2023","Primary","Private","18","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2023","Secondary","Government","1","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2023","Secondary","Private","0","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2023","Tertiary","Government","0","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2023","Tertiary","Private","1","D01S11","education"
