district,county,subcounty,year,level,ownership,value
Kayunga,Ntenjeru,Busaana Town Council,2023,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana Town Council,2023,Tertiary,Private,0
Kayunga,Bbaale,Galiraya,2023,Primary,Government,11
Kayunga,Bbaale,Galiraya,2023,Primary,Private,12
Kayunga,Bbaale,Galiraya,2023,Secondary,Government,1
Kayunga,Bbaale,Galiraya,2023,Secondary,Private,1
Kayunga,Bbaale,Galiraya,2023,Tertiary,Government,0
Kayunga,Bbaale,Galiraya,2023,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira,2023,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira,2023,Primary,Private,29
Kayunga,Ntenjeru,Kangulumira,2023,Secondary,Government,1
Kayunga,Ntenjeru,Kangulumira,2023,Secondary,Private,5
Kayunga,Ntenjeru,Kangulumira,2023,Tertiary,Government,1
Kayunga,Ntenjeru,Kangulumira,2023,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira Town Council,2023,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira Town Council,2023,Primary,Private,25
Kayunga,Ntenjeru,Kangulumira Town Council,2023,Secondary,Government,1
Kayunga,Ntenjeru,Kangulumira Town Council,2023,Secondary,Private,7
Kayunga,Ntenjeru,Kangulumira Town Council,2023,Tertiary,Government,1
Kayunga,Ntenjeru,Kangulumira Town Council,2023,Tertiary,Private,0
Kayunga,Bbaale,Kayonza,2023,Primary,Government,3
Kayunga,Bbaale,Kayonza,2023,Primary,Private,31
Kayunga,Bbaale,Kayonza,2023,Secondary,Government,1
Kayunga,Bbaale,Kayonza,2023,Secondary,Private,3
Kayunga,Bbaale,Kayonza,2023,Tertiary,Government,0
Kayunga,Bbaale,Kayonza,2023,Tertiary,Private,0
Kayunga,Ntenjeru,Kayunga,2023,Primary,Government,19
Kayunga,Ntenjeru,Kayunga,2023,Primary,Private,35
Kayunga,Ntenjeru,Kayunga,2023,Secondary,Government,1
Kayunga,Ntenjeru,Kayunga,2023,Secondary,Private,5
Kayunga,Ntenjeru,Kayunga,2023,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga,2023,Tertiary,Private,1
Kayunga,Ntenjeru,Kayunga Town Council,2023,Primary,Government,7
Kayunga,Ntenjeru,Kayunga Town Council,2023,Primary,Private,25
Kayunga,Ntenjeru,Kayunga Town Council,2023,Secondary,Government,2
Kayunga,Ntenjeru,Kayunga Town Council,2023,Secondary,Private,7
Kayunga,Ntenjeru,Kayunga Town Council,2023,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga Town Council,2023,Tertiary,Private,0
Kayunga,Bbaale,Kitimbwa,2023,Primary,Government,18
Kayunga,Bbaale,Kitimbwa,2023,Primary,Private,18
Kayunga,Bbaale,Kitimbwa,2023,Secondary,Government,1
Kayunga,Bbaale,Kitimbwa,2023,Secondary,Private,0
Kayunga,Bbaale,Kitimbwa,2023,Tertiary,Government,0
Kayunga,Bbaale,Kitimbwa,2023,Tertiary,Private,1
Kayunga,Bbaale,Kitimbwa Town Council,2023,Primary,Government,8
