district,county,year,subcounty,parish,school_name,ownership,gender,grade,value
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Male,Division 2,7
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Female,Division 2,10
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Male,Division 3,7
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Female,Division 3,5
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Male,Division 4,4
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Female,Division 4,3
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Male,Division U,2
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Female,Division U,2
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Male,Division X,2
Kayunga,Bbaale,2018,Galiraya,Namayuge,Namayuge Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Male,Division 2,3
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Female,Division 2,1
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Male,Division 3,2
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Female,Division 3,1
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Male,Division 4,3
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Female,Division 4,1
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Male,Division U,3
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Female,Division U,2
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Male,Division X,1
Kayunga,Bbaale,2018,Galiraya,Ntimba,Ntimba Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Male,Division 2,8
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Female,Division 2,6
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Male,Division 3,10
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Female,Division 3,3
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Male,Division 4,3
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Female,Division 4,1
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Male,Division U,
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Female,Division U,1
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Male,Division X,1
Kayunga,Bbaale,2018,Galiraya,Galiraya,St Kizito Kidibya Primary School,Government,Female,Division X,1
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Male,Division 1,4
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Female,Division 1,1
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Male,Division 2,10
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Female,Division 2,16
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Male,Division 3,9
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Female,Division 3,10
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Male,Division 4,7
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Female,Division 4,7
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Male,Division U,1
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Female,Division U,1
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Male,Division X,
Kayunga,Bbaale,2018,Bbaale,Bbaale,Bbaale CU Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Male,Division 2,5
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Female,Division 2,6
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Male,Division 3,5
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Female,Division 3,5
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Male,Division 4,4
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Female,Division 4,4
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Male,Division U,2
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Female,Division U,1
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Male,Division X,
Kayunga,Bbaale,2018,Bbaale,Kavule,Gayaza CU Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Male,Division 2,2
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Female,Division 2,1
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Male,Division 3,3
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Female,Division 3,1
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Male,Division 4,1
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Female,Division 4,1
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Male,Division U,7
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Female,Division U,7
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Male,Division X,
Kayunga,Bbaale,2018,Bbaale,Misanga,Misanga CU Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Bbaale,Mugongo,Mugongo Primary School,Government,Male,Division 1,
