District name,Sub county,Parish,Village,Name of the school,School type,Does the school have Pre-primary education (ECD/Nursery),Total number of learners,Number of boys,Number of girls,Number of learners with disabilities (boys/girls),Total number of teachers,Number of male teachers,Number of Female teachers,Number of teachers on government payroll ,Number of teachers qualified by Diploma,Number of teachers qualified degree and above,Number of teachers qualified by certificate,Number of classroom blocks,"Of these, how many are permanent classrooms",How many are semi-permanent classrooms,How many are temporary classrooms,Number of Toilets,Are there separate toilets for boys and girls? ,"if yes, Number of toilets available for boys","if yes, Number of toilets available for girls",Are there separate toilets for teachers,"if yes, Number of toilets available for teachers",Are toilets accommodative for people with Disabilities e.g walking,Is water available at the school? ,Is there a handwashing point available at school,Does the school have electricity? ,Does the school have an ICT/computer lab? ,"On average, how many pupils does one classroom accommodate /how many learners sit in one classroom (Pupil-classroom ratio)","On average, how pupils does on teacher attend to /teach in this school (Average pupil–teacher ratio)",Pupil-text book ratio-on average one book is used by how many pupils?,"Pupil–toilet ratio( On average, how many pupils use one toilet ?",Take a photo of paper/chat showing enrolment of last term,Take a photo of paper/chat showing enrolment of last term_URL,Photo showing front view of the school,Photo showing front view of the school_URL,Geo location of the school,_Geo location of the school_latitude,_Geo location of the school_longitude,_Geo location of the school_altitude,_Geo location of the school_precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Kayunga,Bbaale sub county,Mugongo,Mugongo,Mugongo CU,Government,No,506,239,267,2,9,6,3,7,0,0,7,5,4,1,0,12,Yes,6,6,No,,Yes,Yes,No,No,No,101,72,2,51,1758264330366.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F61289207-1a62-43c8-a946-98f3ca063458%2F1758264330366.jpg,1758264565334.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F61289207-1a62-43c8-a946-98f3ca063458%2F1758264565334.jpg,1.1709805 32.8284026 1037.48 2.789,1.1709805,32.8284026,1037.48,2.789,563612753,61289207-1a62-43c8-a946-98f3ca063458,2025-09-21,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,199
Kayunga,Bbaale sub county,Bbaale ,Bbaale east,The bright Morning Star P/S,Private,Yes,140,64,76,0,8,3,5,,2,0,6,8,8,0,0,10,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,No,18,18,10,18,1758692674927.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fddc62d44-905a-40c4-af8e-59ca271e005e%2F1758692674927.jpg,1758692458616.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fddc62d44-905a-40c4-af8e-59ca271e005e%2F1758692458616.jpg,1.0984996 32.8876356 1067.4000244140625 2.579,1.0984996,32.8876356,1067.400024,2.579,566057630,ddc62d44-905a-40c4-af8e-59ca271e005e,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,363
Kayunga,Bbaale sub county,Bbaale ,Mukondo,Divine embassy kindergarten and primary school ,Private,Yes,227,92,135,2,13,6,7,,1,1,5,2,1,1,0,12,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,No,23,17,20,23,1758697035175.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff4ecd4fa-4376-4e1b-8ce6-de547951a936%2F1758697035175.jpg,1758697189263.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff4ecd4fa-4376-4e1b-8ce6-de547951a936%2F1758697189263.jpg,1.0946651 32.8891191 1111.14 2.855,1.0946651,32.8891191,1111.14,2.855,566057652,f4ecd4fa-4376-4e1b-8ce6-de547951a936,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,364
Kayunga,Bbaale sub county,Kavule,Gayaza,Gayaza Junior school,Private,Yes,110,50,60,0,9,2,8,,1,0,1,6,1,5,2,3,Yes,1,1,Yes,1,No,No,Yes,No,No,20,12,10,28,1758710339850.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6b31cd05-4e09-454f-a26a-f625ce633828%2F1758710339850.jpg,1758710386785.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6b31cd05-4e09-454f-a26a-f625ce633828%2F1758710386785.jpg,1.0592731 32.8967267 1063.807 2.647,1.0592731,32.8967267,1063.807,2.647,566057697,6b31cd05-4e09-454f-a26a-f625ce633828,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,365
Kayunga,Bbaale sub county,Nakitokolo,Nabisubyaki,HolyLand Junior School,Private,Yes,273,115,158,0,12,8,4,,1,0,0,3,9,1,1,2,Yes,1,1,No,,No,Yes,Yes,Yes,No,50,20,20,50,1758705561370.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F87e2c58f-6d2d-4dec-9a16-4363c57bd857%2F1758705561370.jpg,1758705445899.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F87e2c58f-6d2d-4dec-9a16-4363c57bd857%2F1758705445899.jpg,1.1136592 32.8858607 1081.688 1.681,1.1136592,32.8858607,1081.688,1.681,566057712,87e2c58f-6d2d-4dec-9a16-4363c57bd857,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,366
Kayunga,Bbaale sub county,Bbaale,Kabaku,Mulondo Junior School,Private,Yes,114,51,63,1,6,1,5,,2,0,1,3,0,0,3,1,Yes,2,3,Yes,1,No,No,Yes,No,No,19,6,,23,1758703741260.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd694a199-7077-4a06-95b8-264290382348%2F1758703741260.jpg,1758703931177.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd694a199-7077-4a06-95b8-264290382348%2F1758703931177.jpg,1.112969 32.8817261 1079.35 1.42,1.112969,32.8817261,1079.35,1.42,566057737,d694a199-7077-4a06-95b8-264290382348,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,367
Kayunga,Bbaale sub county,Bbaale,Bbaale west,Trinity children's center,Private,Yes,323,154,169,2,12,6,6,,,,6,10,4,6,,6,Yes,2,2,Yes,2,Yes,Yes,Yes,Yes,No,32,27,2,80,1758698794580.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F29e2f31d-4897-4588-bf32-0168bce5a495%2F1758698794580.jpg,1758698877982.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F29e2f31d-4897-4588-bf32-0168bce5a495%2F1758698877982.jpg,1.0960598 32.8868302 1171.335 3.497,1.0960598,32.8868302,1171.335,3.497,566057822,29e2f31d-4897-4588-bf32-0168bce5a495,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,370
Kayunga,Bbaale sub county,Bbaale,Bbaala West,Martin Junior School,Private,Yes,48,17,31,0,3,1,2,,0,0,1,7,0,7,0,5,Yes,2,2,Yes,1,Yes,No,Yes,Yes,No,6,16,2,12,,,1758702291385.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8b470098-f335-4fe1-b764-1c8337d71552%2F1758702291385.jpg,1.0980808 32.8836976 1049.046 1.492,1.0980808,32.8836976,1049.046,1.492,566057848,8b470098-f335-4fe1-b764-1c8337d71552,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,371
Kayunga,Bbaale sub county,Bbaale,Bbaale East,Ebenezer Junior School,Private,Yes,146,76,70,2,6,3,3,,0,0,1,6,0,6,0,3,Yes,1,1,Yes,1,No,Yes,Yes,No,No,24,24,30,73,,,1758700513912.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd88b2124-04b7-4541-ac2c-a4ce8c23d3e8%2F1758700513912.jpg,1.098048 32.8878777 1075.697 2.597,1.098048,32.8878777,1075.697,2.597,566057886,d88b2124-04b7-4541-ac2c-a4ce8c23d3e8,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,372
Kayunga,Bbaale sub county,Bbaale,Bbaale East,Standard Junior school,Private,Yes,479,268,211,2,12,6,6,,0,1,11,10,,10,,4,Yes,2,2,No,,,Yes,Yes,Yes,No,45,40,50,120,,,1758694994049.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F9d3a88bd-1726-4ba6-b0ee-aa2c493a276d%2F1758694994049.jpg,1.097945 32.8873909 1067.4000244140625 1.47,1.097945,32.8873909,1067.400024,1.47,566057926,9d3a88bd-1726-4ba6-b0ee-aa2c493a276d,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,373
Kayunga,Bbaale sub county,Bbaale East,Bbaale East,Bbaale Islamic Junior School,Private,Yes,268,146,120,0,13,7,6,,1,0,6,10,4,6,0,15,Yes,6,6,Yes,2,No,Yes,Yes,Yes,No,27,21,28,18,1758690938525.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F0730d3a0-4b66-4a05-a42b-8612056b7374%2F1758690938525.jpg,1758691063290.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F0730d3a0-4b66-4a05-a42b-8612056b7374%2F1758691063290.jpg,1.0986685 32.8869532 1065.302 1.496,1.0986685,32.8869532,1065.302,1.496,566057964,0730d3a0-4b66-4a05-a42b-8612056b7374,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,374
Kayunga,Bbaale sub county,Bbaale,Bbaale west,Pride Junior School,Private,Yes,321,164,157,0,12,7,5,,5,1,2,9,7,2,0,8,Yes,4,3,Yes,1,Yes,Yes,Yes,Yes,No,36,27,50,46,1758688835759.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F14ae8b97-02ea-40d3-93f7-7dfc76cdbd6f%2F1758688835759.jpg,1758689492987.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F14ae8b97-02ea-40d3-93f7-7dfc76cdbd6f%2F1758689492987.jpg,1.0976692 32.8853042 950.988 3.282,1.0976692,32.8853042,950.988,3.282,566058059,14ae8b97-02ea-40d3-93f7-7dfc76cdbd6f,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,375
Kayunga,Busaana Sub county,Kasana parish,Busaana village,Busaana RC primary school ,Government,No,675,314,361,20,13,5,8,9,12,4,1,2,2,0,0,9,Yes,4,5,No,,Yes,Yes,Yes,Yes,No,65,60,2,72,1758018932931.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6819745f-78fd-404c-acb2-f34036dd5d5a%2F1758018932931.jpg,1758036363883.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6819745f-78fd-404c-acb2-f34036dd5d5a%2F1758036363883.jpg,0.774519 32.9915047 1075.223388671875 8.179,0.774519,32.9915047,1075.223389,8.179,560591935,6819745f-78fd-404c-acb2-f34036dd5d5a,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,57
Kayunga,Busaana Sub county,Kiwangula,Ngeye village,Nyege CU primary school,Government,No,457,242,215,17,12,5,7,6,3,1,4,3,2,1,2,5,No,,,No,,No,Yes,Yes,Yes,No,60,40,1,91,1758031393200.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd83f9ba1-fa5e-4fc6-a272-b2eef2c203e6%2F1758031393200.jpg,1758031524816.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd83f9ba1-fa5e-4fc6-a272-b2eef2c203e6%2F1758031524816.jpg,0.7208307 32.9784035 1116.169921875 6.98,0.7208307,32.9784035,1116.169922,6.98,560595013,d83f9ba1-fa5e-4fc6-a272-b2eef2c203e6,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,59
Kayunga,Busaana Sub county,Namukuma parish,Kyengera village,Kyengera CU primary school,Government,No,763,406,357,5,8,4,4,8,2,2,4,6,6,0,0,10,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,No,127,95,2,81,1758092175012.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F46d48949-ddbf-4f1b-bcc0-557d196f2874%2F1758092175012.jpg,1758092249063.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F46d48949-ddbf-4f1b-bcc0-557d196f2874%2F1758092249063.jpg,0.7643976 32.9453456 1086.040771484375 4.604,0.7643976,32.9453456,1086.040771,4.604,561059517,46d48949-ddbf-4f1b-bcc0-557d196f2874,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,119
Kayunga,Busaana Sub county,Namukuma parish,Kyayaye village,St Jude Kyayaye RC primary school,Government,No,426,217,209,13,12,6,6,12,3,1,8,17,17,0,0,7,No,,,No,,Yes,No,Yes,Yes,No,50,40,1,60,1758093934012.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa3a6770b-c74f-4eab-837a-df41977de131%2F1758093934012.jpg,1758094018270.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa3a6770b-c74f-4eab-837a-df41977de131%2F1758094018270.jpg,0.7807101 32.9591228 1071.4393310546875 4.327,0.7807101,32.9591228,1071.439331,4.327,561061956,a3a6770b-c74f-4eab-837a-df41977de131,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,120
Kayunga,Busaana Sub county,Kiwangula parish,Wampogo village,Kiwangula CU primary school,Government,Yes,726,359,367,3,18,6,12,14,1,3,10,12,12,0,0,3,No,,,Yes,2,No,Yes,Yes,Yes,No,50,50,1,242,1758096006460.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F86ab990b-7f6f-4935-9ffd-1fad68ba1958%2F1758096006460.jpg,1758096114832.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F86ab990b-7f6f-4935-9ffd-1fad68ba1958%2F1758096114832.jpg,0.740057 32.9568621 1118.589111328125 4.874,0.740057,32.9568621,1118.589111,4.874,561088045,86ab990b-7f6f-4935-9ffd-1fad68ba1958,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,145
Kayunga,Busaana Sub county,Kiwangula parish,Wampongo village,Kiwangula RC primary school,Government,Yes,418,227,191,34,14,3,11,9,6,4,3,9,9,0,0,23,Yes,8,10,Yes,4,Yes,Yes,Yes,Yes,No,60,60,1,28,1758097180027.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe084353e-b8a3-41c1-a547-c80d639ddc58%2F1758097180027.jpg,1758097554962.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe084353e-b8a3-41c1-a547-c80d639ddc58%2F1758097554962.jpg,0.7368225 32.9541553 1098.77880859375 4.094,0.7368225,32.9541553,1098.778809,4.094,561089709,e084353e-b8a3-41c1-a547-c80d639ddc58,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,146
Kayunga,Busaana Sub county,Namirembe parish,Namirembe village,Namirembe public primary school,Government,No,347,170,177,1,7,3,4,7,0,1,6,6,6,0,0,5,Yes,2,2,Yes,1,Yes,No,No,No,No,30,30,30,85,1758100861397.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F68ed841b-fddc-4bf6-b9f5-8e74c2c56867%2F1758100861397.jpg,1758101061364.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F68ed841b-fddc-4bf6-b9f5-8e74c2c56867%2F1758101061364.jpg,0.7980333 32.955017 1082.2783203125 4.95,0.7980333,32.955017,1082.27832,4.95,561091179,68ed841b-fddc-4bf6-b9f5-8e74c2c56867,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,153
Kayunga,Busaana Sub county,Namusaala,Lusenke,Namutya CU primary school,Government,No,385,195,190,1,10,6,4,10,4,2,4,7,7,0,0,10,Yes,3,5,Yes,2,Yes,Yes,Yes,No,No,60,60,3,65,1758106882999.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5f9161e3-a282-4d26-8153-48113f857c7a%2F1758106882999.jpg,1758105835097.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5f9161e3-a282-4d26-8153-48113f857c7a%2F1758105835097.jpg,0.8694283 32.9959603 1041.5970458984375 4.999,0.8694283,32.9959603,1041.597046,4.999,561094424,5f9161e3-a282-4d26-8153-48113f857c7a,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,154
Kayunga,Busaana Sub county,Namusaala parish,Namusaala village,Namusaala CU primary school,Government,No,479,253,226,6,9,6,3,9,1,3,5,7,7,0,0,6,Yes,2,2,Yes,2,No,Yes,Yes,Yes,No,50,50,1,126,1758108266666.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F14c4ae6c-e194-448f-acf6-9418a3a37db1%2F1758108266666.jpg,1758108404928.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F14c4ae6c-e194-448f-acf6-9418a3a37db1%2F1758108404928.jpg,0.8370577 33.0051005 1045.615478515625 4.896,0.8370577,33.0051005,1045.615479,4.896,561096248,14c4ae6c-e194-448f-acf6-9418a3a37db1,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,155
Kayunga,Busaana Sub county,Nabuganyi,Nabuganyi village,Nabuganyi CU primary school,Government,Yes,683,329,354,10,10,4,6,10,4,3,3,8,8,0,0,14,Yes,10,4,Yes,2,Yes,No,Yes,Yes,No,80,60,2,32,1758112095652.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2acdc2bf-3ef9-47d8-8a3c-c584f7538d86%2F1758112095652.jpg,1758112181666.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2acdc2bf-3ef9-47d8-8a3c-c584f7538d86%2F1758112181666.jpg,0.8042691 33.0185643 1067.6514892578125 4.638,0.8042691,33.0185643,1067.651489,4.638,561103066,2acdc2bf-3ef9-47d8-8a3c-c584f7538d86,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,156
Kayunga,Busaana Sub county,Namirembe parish,Namirembe village,Namirembe CU primary school,Government,No,607,300,307,11,9,8,1,9,3,1,5,8,8,0,0,10,Yes,3,5,Yes,2,Yes,Yes,Yes,Yes,No,60,60,1,126,1758099912323.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd27bbe86-29ee-4d91-993b-1603a4a1dca6%2F1758099912323.jpg,1758100022258.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd27bbe86-29ee-4d91-993b-1603a4a1dca6%2F1758100022258.jpg,0.7981394 32.9653293 1082.5447998046875 4.981,0.7981394,32.9653293,1082.5448,4.981,561106809,d27bbe86-29ee-4d91-993b-1603a4a1dca6,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,157
Kayunga,Busaana Sub county,Nabuganyi parish,Bumali village,Bumali UMEA primary school,Government,No,423,222,201,7,9,5,4,7,1,1,8,6,6,0,0,7,No,,,Yes,2,Yes,Yes,Yes,Yes,No,45,45,3,84,1758110412762.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F60ba7eed-25de-4ec7-8a4a-7ac9079a496d%2F1758110412762.jpg,1758110500347.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F60ba7eed-25de-4ec7-8a4a-7ac9079a496d%2F1758110500347.jpg,0.8199953 32.9963828 1055.1290283203125 4.709,0.8199953,32.9963828,1055.129028,4.709,561111463,60ba7eed-25de-4ec7-8a4a-7ac9079a496d,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,158
Kayunga,Busaana Sub county,Nabuganyi parish,Nikoyedde village,Nabuganyi RC primary school,Government,No,720,349,371,60,13,6,7,11,3,2,8,10,10,0,0,13,Yes,5,6,Yes,2,No,Yes,Yes,Yes,No,100,100,1,69,1758112995817.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F98145e2f-8c8d-43f2-a75c-51fe1c8517c7%2F1758112995817.jpg,1758113269730.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F98145e2f-8c8d-43f2-a75c-51fe1c8517c7%2F1758113269730.jpg,0.8061244 33.0190551 1076.40380859375 4.939,0.8061244,33.0190551,1076.403809,4.939,561113370,98145e2f-8c8d-43f2-a75c-51fe1c8517c7,2025-09-17,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,159
Kayunga,Busaana Sub county,Namukuma parish,Nangabo,Nangabo CU primary school,Government,No,451,219,232,0,8,6,2,8,2,1,6,6,6,0,0,6,Yes,2,3,Yes,1,No,No,Yes,No,No,55,55,3,109,1758183405227.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6fb58cb9-d54e-4808-96c6-13e36069e2b4%2F1758183405227.jpg,1758183544754.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6fb58cb9-d54e-4808-96c6-13e36069e2b4%2F1758183544754.jpg,0.7733039 32.9302181 923.21240234375 4.552,0.7733039,32.9302181,923.2124023,4.552,562141787,6fb58cb9-d54e-4808-96c6-13e36069e2b4,2025-09-19,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,165
Kayunga,Busaana Sub county,Lusenke,Kibuzi,Kibuzi CU primary school,Government,No,510,245,265,,9,3,6,9,,2,,3,2,1,0,9,Yes,5,4,No,,No,No,Yes,Yes,No,70,70,1,49,1758029516461.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2e4368de-4360-4f6c-a8a5-26a800a75c6c%2F1758029516461.jpg,1758029716067.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2e4368de-4360-4f6c-a8a5-26a800a75c6c%2F1758029716067.jpg,0.732372 32.9818207 1083.4521484375 4.319,0.732372,32.9818207,1083.452148,4.319,562194432,2e4368de-4360-4f6c-a8a5-26a800a75c6c,2025-09-19,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,168
Kayunga,Busaana Sub county,Kiwangula parish ,Kiwangula wampongo,Kiwangula Quran school/ UMEA,Private,Yes,200,150,50,5,10,4,6,,0,1,9,5,3,0,2,8,Yes,3,3,Yes,2,No,Yes,Yes,Yes,No,30,30,4,50,1758606947788.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff157d8b9-8d55-4f19-8f1a-e41802da6989%2F1758606947788.jpg,1758607069183.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff157d8b9-8d55-4f19-8f1a-e41802da6989%2F1758607069183.jpg,0.7424622 32.955087 1118.4188232421875 4.867,0.7424622,32.955087,1118.418823,4.867,565042402,f157d8b9-8d55-4f19-8f1a-e41802da6989,2025-09-23,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,299
Kayunga,Busaana Sub county,Kiwangula parish ,Kiwangula central,St Mark Victory Academy,Private,Yes,120,40,80,2,8,5,3,,1,0,7,9,9,0,0,5,Yes,2,2,Yes,1,No,Yes,Yes,No,No,40,40,40,40,1758608540763.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5fc8f30c-a2dc-410c-afd4-0f7bec3874da%2F1758608540763.jpg,1758608984652.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5fc8f30c-a2dc-410c-afd4-0f7bec3874da%2F1758608984652.jpg,0.7445296 32.9636036 1087.363525390625 4.315,0.7445296,32.9636036,1087.363525,4.315,565045736,5fc8f30c-a2dc-410c-afd4-0f7bec3874da,2025-09-23,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,300
