District name,Sub county,Parish,Village,Name of the school,School type,Does the school have Pre-primary education (ECD/Nursery),Total number of learners,Number of boys,Number of girls,Number of learners with disabilities (boys/girls),Total number of teachers,Number of male teachers,Number of Female teachers,Number of teachers on government payroll ,Number of teachers qualified by Diploma,Number of teachers qualified degree and above,Number of teachers qualified by certificate,Number of classroom blocks,"Of these, how many are permanent classrooms",How many are semi-permanent classrooms,How many are temporary classrooms,Number of Toilets,Are there separate toilets for boys and girls? ,"if yes, Number of toilets available for boys","if yes, Number of toilets available for girls",Are there separate toilets for teachers,"if yes, Number of toilets available for teachers",Are toilets accommodative for people with Disabilities e.g walking,Is water available at the school? ,Is there a handwashing point available at school,Does the school have electricity? ,Does the school have an ICT/computer lab? ,"On average, how many pupils does one classroom accommodate /how many learners sit in one classroom (Pupil-classroom ratio)","On average, how pupils does on teacher attend to /teach in this school (Average pupil–teacher ratio)",Pupil-text book ratio-on average one book is used by how many pupils?,"Pupil–toilet ratio( On average, how many pupils use one toilet ?",Take a photo of paper/chat showing enrolment of last term,Take a photo of paper/chat showing enrolment of last term_URL,Photo showing front view of the school,Photo showing front view of the school_URL,Geo location of the school,_Geo location of the school_latitude,_Geo location of the school_longitude,_Geo location of the school_altitude,_Geo location of the school_precision,_id,_uuid
Masindi,NYANTONZI,RWEMPISI,AMBAKA,RWEMPISI PRIMARY SCH,Government,No,521,295,226,46,9,6,3,7,3,1,5,7,7,0,0,5,No,,,Yes,2,Yes,Yes,Yes,No,No,75,58,10,105,1758011453487.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F78a603b9-9f5f-4630-98e1-bd6b5e0c37e6%2F1758011453487.jpg,1758011567960.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F78a603b9-9f5f-4630-98e1-bd6b5e0c37e6%2F1758011567960.jpg,1.6285339 31.5101672 1110.145 1.292,1.6285339,31.5101672,1110.145,1.292,560503893,78a603b9-9f5f-4630-98e1-bd6b5e0c37e6
Masindi,Pakanyi,Kyakamese,Alimugonza,St. Paul Memorial school,Private,Yes,180,100,80,1,8,6,2,,2,0,1,2,10,2,1,2,Yes,1,1,No,,No,No,Yes,No,No,18,23,7,90,1758008448317.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5546ed5c-b5c4-4340-8c69-bdc950bf98f5%2F1758008448317.jpg,1758007941635.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5546ed5c-b5c4-4340-8c69-bdc950bf98f5%2F1758007941635.jpg,1.8841144 31.7789316 1014.372 1.334,1.8841144,31.7789316,1014.372,1.334,560295122,5546ed5c-b5c4-4340-8c69-bdc950bf98f5
Masindi,Pakanyi,Kyakamese,Waiga,Waiga primary school,Government,No,1173,619,554,100,12,7,5,12,0,1,11,4,8,0,0,12,Yes,5,5,Yes,2,Yes,No,Yes,No,No,147,98,60,117,1758010400758.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F42da5738-675e-4525-8701-c0021f79a92e%2F1758010400758.jpg,1758010492848.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F42da5738-675e-4525-8701-c0021f79a92e%2F1758010492848.jpg,1.8276028 31.7874489 1125.03 2.771,1.8276028,31.7874489,1125.03,2.771,560295209,42da5738-675e-4525-8701-c0021f79a92e
Masindi,Pakanyi,Kyakamese,Kiyuya,Kiyuya Seed Secondary School,Government,No,1040,606,434,3,33,27,6,24,20,13,0,4,8,0,0,18,Yes,8,8,Yes,2,Yes,Yes,Yes,Yes,Yes,131,31,40,65,1758014908532.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdd8b2227-78ff-4e35-9294-9eae32a357cf%2F1758014908532.jpg,1758014365916.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdd8b2227-78ff-4e35-9294-9eae32a357cf%2F1758014365916.jpg,1.8208295 31.8014427 1099.006 2.481,1.8208295,31.8014427,1099.006,2.481,560295291,dd8b2227-78ff-4e35-9294-9eae32a357cf
Masindi,Pakanyi,Kyakamese,Nyakatoogo,Nyakatoogo Primary School,Government,No,218,108,110,13,9,4,5,9,2,1,6,3,9,0,0,10,Yes,5,5,No,,Yes,No,Yes,No,No,24,24,2,22,1758025811551.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3563f178-4bc0-4f42-a329-e61c92ccf45a%2F1758025811551.jpg,1758025979079.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3563f178-4bc0-4f42-a329-e61c92ccf45a%2F1758025979079.jpg,1.7740134 31.8201766 845.533 2.057,1.7740134,31.8201766,845.533,2.057,560297619,3563f178-4bc0-4f42-a329-e61c92ccf45a
Masindi,Pakanyi,Kyakamese,Pakanyi,Rutindo Primary School,Private,Yes,323,173,149,6,12,4,8,,0,1,6,3,9,0,0,17,Yes,6,7,Yes,4,No,Yes,Yes,Yes,No,36,27,10,25,1758028046733.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6f44246f-57c0-4487-9abf-e4392452a291%2F1758028046733.jpg,1758028102791.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6f44246f-57c0-4487-9abf-e4392452a291%2F1758028102791.jpg,1.7645657 31.7864105 1097.019 1.563,1.7645657,31.7864105,1097.019,1.563,560297659,6f44246f-57c0-4487-9abf-e4392452a291
Masindi,Pakanyi,Kyakamese,Alimugonza,Alimugonza Primary School,Government,No,1109,578,531,171,13,11,2,13,6,2,5,3,9,0,0,9,Yes,4,5,Yes,2,Yes,Yes,Yes,No,No,123,85,60,123,1758005948099.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5e837391-afdb-445d-9de9-fc4c8007c60e%2F1758005948099.jpg,1758006055130.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5e837391-afdb-445d-9de9-fc4c8007c60e%2F1758006055130.jpg,1.8841619 31.7770978 1037.366 4.515,1.8841619,31.7770978,1037.366,4.515,560297828,5e837391-afdb-445d-9de9-fc4c8007c60e
Masindi,Pakanyi,Kyakamese,Kiyuya,Kiyuya Primary School,Government,Yes,533,273,260,52,10,7,3,10,6,1,3,8,8,0,0,12,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,No,53,59,2,53,1758089745748.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F92cd0952-dd0b-4043-b328-f3311229a7be%2F1758089745748.jpg,1758089813311.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F92cd0952-dd0b-4043-b328-f3311229a7be%2F1758089813311.jpg,1.8163766 31.8051088 1104.499 1.525,1.8163766,31.8051088,1104.499,1.525,560927856,92cd0952-dd0b-4043-b328-f3311229a7be
Masindi,Pakanyi,Kyakamese,Karungi,Karungi Primary School,Government,No,557,317,240,57,9,1,8,9,5,1,3,7,7,0,0,10,Yes,5,5,No,,Yes,Yes,Yes,No,No,80,62,5,56,1758092539438.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd71bb043-c638-415a-8850-4f8ff66ba805%2F1758092539438.jpg,1758091967194.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd71bb043-c638-415a-8850-4f8ff66ba805%2F1758091967194.jpg,1.8151431 31.7732778 1215.134 2.852,1.8151431,31.7732778,1215.134,2.852,560927901,d71bb043-c638-415a-8850-4f8ff66ba805
Masindi,Pakanyi,Kyakamese,Katumba,Katumba Lutheran Primary School,Private,Yes,100,48,52,1,9,6,3,,0,,1,9,9,0,0,10,Yes,4,6,Yes,2,Yes,Yes,,No,No,11,11,1,10,1758096664628.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6cb548fd-6c5a-4f1c-b450-a67bad312064%2F1758096664628.jpg,1758096735341.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6cb548fd-6c5a-4f1c-b450-a67bad312064%2F1758096735341.jpg,1.7837402 31.808798 1083.957 3.152,1.7837402,31.808798,1083.957,3.152,560927935,6cb548fd-6c5a-4f1c-b450-a67bad312064
Masindi,Pakanyi,Kyatiri west,Kisekulu 1,St Mary's kyatiri primary school ,Government,No,1388,701,687,88,20,7,13,20,9,1,10,10,10,3,0,14,Yes,6,8,No,,Yes,Yes,Yes,Yes,No,139,69,46,99,1758093535021.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F211a809b-622f-48ab-aaca-287f094989d5%2F1758093535021.jpg,1758093561054.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F211a809b-622f-48ab-aaca-287f094989d5%2F1758093561054.jpg,1.7925136 31.8827124 1115.011 4.355,1.7925136,31.8827124,1115.011,4.355,561048666,211a809b-622f-48ab-aaca-287f094989d5
