District name,Sub county,Parish,Village,Name of the school,School type,Does the school have Pre-primary education (ECD/Nursery),Total number of learners,Number of boys,Number of girls,Number of learners with disabilities (boys/girls),Total number of teachers,Number of male teachers,Number of Female teachers,Number of teachers on government payroll ,Number of teachers qualified by Diploma,Number of teachers qualified degree and above,Number of teachers qualified by certificate,Number of classroom blocks,"Of these, how many are permanent classrooms",How many are semi-permanent classrooms,How many are temporary classrooms,Number of Toilets,Are there separate toilets for boys and girls? ,"if yes, Number of toilets available for boys","if yes, Number of toilets available for girls",Are there separate toilets for teachers,"if yes, Number of toilets available for teachers",Are toilets accommodative for people with Disabilities e.g walking,Is water available at the school? ,Is there a handwashing point available at school,Does the school have electricity? ,Does the school have an ICT/computer lab? ,"On average, how many pupils does one classroom accommodate /how many learners sit in one classroom (Pupil-classroom ratio)","On average, how pupils does on teacher attend to /teach in this school (Average pupil–teacher ratio)",Pupil-text book ratio-on average one book is used by how many pupils?,"Pupil–toilet ratio( On average, how many pupils use one toilet ?",Take a photo of paper/chat showing enrolment of last term,Take a photo of paper/chat showing enrolment of last term_URL,Photo showing front view of the school,Photo showing front view of the school_URL,Geo location of the school,_Geo location of the school_latitude,_Geo location of the school_longitude,_Geo location of the school_altitude,_Geo location of the school_precision,_id,_uuid
Masindi,Miirya,Kigulya ,Bishen,Kitwetwe,Government,No,380,211,169,30,8,6,2,8,2,2,4,7,7,0,0,15,Yes,5,10,Yes,2,Yes,Yes,Yes,No,No,54,48,10,25,1758086775077.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F29937f6c-40e5-4010-8d5a-8b3c11ab1ace%2F1758086775077.jpg,1758086858287.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F29937f6c-40e5-4010-8d5a-8b3c11ab1ace%2F1758086858287.jpg,1.7421288 31.8935582 1113.351 1.375,1.7421288,31.8935582,1113.351,1.375,561048621,29937f6c-40e5-4010-8d5a-8b3c11ab1ace
Masindi,Miirya,Kigulya ,Kijogoro,Kijogoro primary school ,Government,No,951,503,448,154,11,7,4,11,3,0,8,8,6,2,0,10,Yes,5,5,No,,Yes,Yes,Yes,Yes,No,119,86,5,95,1758090308511.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F7b734ce6-90e9-4bea-8633-290c72c4cbeb%2F1758090308511.jpg,1758090656524.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F7b734ce6-90e9-4bea-8633-290c72c4cbeb%2F1758090656524.jpg,1.7595979 31.8932823 1106.601 1.439,1.7595979,31.8932823,1106.601,1.439,561048648,7b734ce6-90e9-4bea-8633-290c72c4cbeb
Masindi,Miirya,Isimba ,Kasomoro ,"St Paul's ss , pakanyi ",Government,No,602,333,269,1,33,18,15,17,22,11,0,11,6,5,0,24,Yes,11,9,Yes,4,Yes,Yes,Yes,Yes,Yes,55,18,60,25,1758106641332.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fae0c2678-6119-41c9-a31a-131597ee099d%2F1758106641332.jpg,1758106682450.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fae0c2678-6119-41c9-a31a-131597ee099d%2F1758106682450.jpg,1.7640459 31.7847888 1122.663 1.344,1.7640459,31.7847888,1122.663,1.344,561048795,ae0c2678-6119-41c9-a31a-131597ee099d
Masindi,Miirya,Isimba ,Kyedikyo,Walyoba Brillant,Private,Yes,265,143,122,0,17,9,8,,5,4,12,10,10,0,0,14,Yes,5,7,No,,No,Yes,Yes,Yes,Yes,26,16,8,19,1758108562748.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdb0becf6-a6bd-4629-a7d0-d5373c259431%2F1758108562748.jpg,1758108644240.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdb0becf6-a6bd-4629-a7d0-d5373c259431%2F1758108644240.jpg,1.7583155 31.7684084 1133.089 2.482,1.7583155,31.7684084,1133.089,2.482,561048835,db0becf6-a6bd-4629-a7d0-d5373c259431
Masindi,Miirya,Bigando,Kinima,Kinima primary ,Government,Yes,554,282,272,87,9,3,6,9,2,1,6,8,8,0,0,10,Yes,5,5,No,,Yes,Yes,Yes,No,No,79,69,0,55,1758017819899.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6a818c7f-0c59-4763-9b6e-90c2f07cba2f%2F1758017819899.jpg,1758017893300.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6a818c7f-0c59-4763-9b6e-90c2f07cba2f%2F1758017893300.jpg,1.6330091 31.814766 1282.25 4.105,1.6330091,31.814766,1282.25,4.105,561048458,6a818c7f-0c59-4763-9b6e-90c2f07cba2f
Masindi,NYANTONZI,KIMANYA,KIMANYA II,KIMANYA UPPER PRIMARY SCH,Government,No,669,355,314,10,8,3,5,8,2,0,6,8,8,0,0,14,Yes,5,5,Yes,2,Yes,Yes,Yes,No,No,96,84,10,56,1758008502918.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdf911723-506b-4ef4-8956-fe29027f0acb%2F1758008502918.jpg,1758008618297.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdf911723-506b-4ef4-8956-fe29027f0acb%2F1758008618297.jpg,1.6059836 31.4860335 1134.018 2.143,1.6059836,31.4860335,1134.018,2.143,560375700,df911723-506b-4ef4-8956-fe29027f0acb
Masindi,NYANTONZI,NYANTONZI,SIIBA,SIIBA PRIMARY SCH,Government,No,388,207,181,128,8,4,4,8,2,0,6,3,6,0,1,13,Yes,4,5,Yes,4,Yes,Yes,Yes,No,No,55,49,30,43,1758013669025.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Faa22c73f-1acb-4d55-a9f4-b1d29ef3c1aa%2F1758013669025.jpg,1758013721941.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Faa22c73f-1acb-4d55-a9f4-b1d29ef3c1aa%2F1758013721941.jpg,1.6475021 31.4854859 1086.248 0.852,1.6475021,31.4854859,1086.248,0.852,560379027,aa22c73f-1acb-4d55-a9f4-b1d29ef3c1aa
Masindi,NYANTONZI,NYANTONZI,NYANTONZI ,NYANTONZI PRIMARY SCH,Government,No,736,388,348,253,9,5,4,9,2,1,6,2,7,0,1,19,Yes,9,10,No,,Yes,Yes,Yes,Yes,No,105,81,10,38,1758014864564.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F0a533bf3-eccc-4064-bc86-ce4985e71269%2F1758014864564.jpg,1758014914820.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F0a533bf3-eccc-4064-bc86-ce4985e71269%2F1758014914820.jpg,1.6458287 31.4795616 1083.848 0.813,1.6458287,31.4795616,1083.848,0.813,560380171,0a533bf3-eccc-4064-bc86-ce4985e71269
Masindi,NYANTONZI,NYANTONZI,NYANTONZI,BUDONGO SECONDARY SCH,Government,No,478,287,191,1,27,21,6,21,9,16,0,4,8,0,0,12,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,Yes,60,18,6,48,1758016431802.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F9bf3ed5a-0f3f-46df-91d5-683b466d9b92%2F1758016431802.jpg,1758016484159.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F9bf3ed5a-0f3f-46df-91d5-683b466d9b92%2F1758016484159.jpg,1.6461283 31.4786369 1097.069 2.132,1.6461283,31.4786369,1097.069,2.132,560380488,9bf3ed5a-0f3f-46df-91d5-683b466d9b92
Masindi,NYANTONZI,KASENENE,ONIENI,KASENENE PRIMARY SCH,Government,No,1436,754,682,90,10,8,2,10,3,1,6,4,11,0,0,20,Yes,9,9,Yes,2,Yes,Yes,Yes,Yes,No,131,144,5,80,1758019593101.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5f36550c-a043-4cfb-a5b4-7ed4449bd213%2F1758019593101.jpg,1758019683805.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F5f36550c-a043-4cfb-a5b4-7ed4449bd213%2F1758019683805.jpg,1.6292036 31.4123268 1082.937 0.711,1.6292036,31.4123268,1082.937,0.711,560381643,5f36550c-a043-4cfb-a5b4-7ed4449bd213
